codice,nome,comune,Numero di sezioni del censimento,Superficie a fini statistici (Km2),Densità abitativa - Abitanti/Km2,Popolazione residente totale,Popolazione residente in età 0-14 anni,Stranieri residenti,Indice di vecchiaia,Incidenza dei residenti stranieri,Incidenza dei giovani fino a 24 anni,Indice di non completamento del ciclo di scuola secondaria di primo grado,Indice di adulti con diploma o titolo terziario,Incidenza degli alunni delle scuole primarie a tempo pieno,Incidenza degli alunni stranieri nelle scuole primarie,Incidenza degli alunni stranieri nelle scuole secondarie di I grado,Incidenza degli alunni stranieri nelle scuole secondarie di II grado,Incidenza degli alunni stranieri nelle scuole,Incidenza degli alunni tra i 6 e i 18 anni e la popolazione residente della stessa fascia di età,Incidenza degli alunni tra i 7 e i 9 anni e la popolazione residente della stessa fascia di età,Tasso di occupazione (20-64 anni),Tasso di disoccupazione (15 anni e più),Incidenza dei giovani che non studiano e non lavorano,Incidenza delle famiglie con potenziale disagio economico,Tasso di alloggi impropri,"Incidenza percentuale della popolazione di 67 anni  e oltre che vive da sola, senza casa di proprietà ",Percentuale di famiglie che non vivono in abitazione di proprietà,"Incidenza percentuale di lavoratori precari  35-64 anni che hanno un rapporto di lavoro dipendente di tipo ""interinale"" o ""occasionale"" sul totale degli occupati 35-64 anni","Uscita precoce dal sistema di istruzione (18-24 anni, totale) ","Uscita precoce dal sistema di istruzione (18-24 anni, stranieri) ","Uscita precoce dal sistema di istruzione (18-24 anni, femmine) ",Giovani di 18-24 anni usciti precocemente dal sistema di istruzione con genitori senza diploma,Indice di affollamento delle abitazioni occupate,Valore immobiliare medio delle abitazioni residenziali,Numero di Musei e Istituzioni similari,Visitatori dei Musei e delle Istituzioni similari,Musei con accesso ai disabili,Ospedali con pronto soccorso,Numero di biblioteche ,Numero di strutture con servizi integrativi per la prima infanzia,Numero di scuole primarie,Numero di scuole primarie a tempo pieno,Numero di scuole secondarie di I grado,Numero di scuole secondarie di II grado,Numero totale di scuole,Numero di stazioni ferroviarie,Prossimità dei musei ,Accessibilità della popolazione residente ai musei,Prossimità delle biblioteche,Accessibilità della popolazione residente alle biblioteche,Prossimità degli ospedali,Accessibilità della popolazione residente agli ospedali,Prossimità delle scuole,Accessibilità della popolazione residente ai servizi educativi per la prima infanzia,Accessibilità della popolazione residente alle scuole,Accessibilità della popolazione residente alle scuole primarie a tempo pieno,Accessibilità della popolazione residente alle scuole secondarie di II grado,Prossimità delle stazioni ferroviarie,Accessibilità della popolazione residente alle stazioni ferroviarie
,Pilastro,Bologna,26,1.253077,5250.277638,6579,782,1551,252.046036,235.750114,22.283022,4.901597,59.611712,100,53.080569,43.283582,0,49.275362,40.225564,68.888889,65.746333,10.17886,29.607251,1.458886,0.100301,14.837626,48.408488,4.931193,22.978723,35.220126,17.961165,27.932961,0.401864,2181,0,0,0,0,2,1,1,1,1,0,2,0,4.07,0,0.47,100,11.26,0,0.027856,99.9392,100,100,0,3.623713,0
,Caab,Bologna,19,3.161826,139.792659,442,78,184,58.974359,416.289593,32.352941,5.860806,56.521739,0,0,0,0,0,0,0,70.103093,11.078876,39.795918,3.012048,1.234568,10.25641,50,3.731343,55.102041,64.285714,50,60,0.397953,2181,0,0,0,0,1,0,0,0,0,0,0,0,5.97,0,4.05,0,19.06,0,4.756592,0,0,0,0,7.572559,0
,Scalo Merci San Donato,Bologna,2,1.154032,,24,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
,Via Del Lavoro,Bologna,37,0.651407,12122.980989,7897,998,1557,182.665331,197.16348,21.311891,2.987789,76.01913,100,29.72973,37.569061,0,34.589041,68.09291,64.321608,71.341719,8.977884,20.240137,1.452617,0.046904,15.992866,50.634079,3.166536,14.398422,33.58209,8.433735,20,0.402976,2488,0,0,0,0,2,3,1,1,1,0,2,0,0.92,100,0.83,4.533367,6.25,95.302013,0.988029,100,100,100,100,2.001184,0
,Michelino,Bologna,23,0.490869,9181.67595,4507,537,817,183.240223,181.273574,20.767695,2.695652,74.913027,0,0,0,9.958259,9.958259,351.981352,0,73.6037,8.146261,19.346049,1.04,0.040883,9.641256,42.84,2.523874,14.705882,37.313433,10.791367,17.647059,0.39062,2488,1,886,0,0,0,4,0,0,0,1,1,0,1.34,13.112935,0.88,1.397826,8.11,45.88418,0.428136,100,100,100,100,1.433795,45.506989
,Via Mondo,Bologna,42,0.577087,13517.89072,7801,840,1519,228.690476,194.718626,18.548904,2.655798,75.795173,75.235849,52.59434,0,0,52.59434,62.481752,145.714286,72.570239,8.112725,21.080602,1.105217,0.04528,13.390805,45.601238,2.496038,14.533623,32.307692,10.837438,20.779221,0.378458,2488,0,0,0,0,0,2,2,2,0,0,2,0,1.61,33.495706,1.48,33.662351,7.12,95.897962,0.443686,100,100,100,95.539033,0.969986,82.156134
,Osservanza,Bologna,24,1.121379,3835.455738,4301,523,315,203.059273,73.238782,21.622878,1.048768,89.735816,0,0,0,0,0,0,0,72.641137,6.421919,13.070866,1.935194,0.091996,5.29661,31.728173,1.239669,3.082192,30,2.189781,15.384615,0.307443,3865.955592,0,0,0,0,0,4,0,0,0,0,0,0,1.7,60.358056,0.82,100,5.85,100,0.641248,81.655429,100,81.655429,100,4.194393,0
,San Michele In Bosco,Bologna,23,1.010047,2267.221452,2290,322,184,161.801242,80.349345,25.327511,2.147239,85.113541,100,8.411215,0,0,8.411215,100.323625,300,69.067475,7.584484,16.931217,2.523364,0.094787,5.995717,35.420561,1.506849,7.065217,27.272727,8.988764,17.647059,0.296107,3828.099563,2,4900,0,1,3,2,1,1,0,0,1,0,0.13,98.820961,0.12,98.820961,0.65,100,0.127847,98.820961,98.820961,98.820961,98.820961,3.774447,0
,Paderno,Bologna,44,22.593345,72.056615,1628,186,274,202.688172,168.304668,24.5086,3.871829,84.037559,0,0,0,0,0,0,0,66.115702,9.584014,21.16041,2.439024,0.146843,6.804734,33.572453,0.584795,14.74359,47.368421,7.54717,37.5,0.255297,3173.243243,0,0,0,0,0,0,0,0,0,0,0,0,5.67,8.906634,4.8,14.864865,10.31,41.953317,4.902976,8.906634,14.864865,8.906634,14.864865,6.360168,0
,Galvani-1,Bologna,28,0.216183,8520.561865,1842,190,223,225.263158,121.064061,18.892508,1.603666,89.118199,0,0,0,0,0,0,0,74.782609,6.316755,14.695341,0.931966,0.094787,9.973753,44.361603,0.156986,7.017544,35.294118,5.454545,40,0.314893,3823.868621,4,278755,0,0,6,0,0,0,0,0,0,0,0,100,0,100,5.05,76.275787,0.875006,100,100,100,100,3.388689,23.724213
,Galvani-2,Bologna,75,0.900592,12397.395498,11165,1095,1227,239.269406,109.897,18.629646,1.612903,88.105182,0,9.090909,7.142857,6.90571,7.360308,241.597796,121.834061,71.616972,8.084759,16.559767,1.53069,0.29526,10.725011,44.986989,1.222104,7.758621,32.183908,5.607477,10.416667,0.324443,3865.776355,5,13006,2,0,8,5,1,0,2,1,4,0,0.07,100,0.07,100,3.47,100,0.099596,100,100,100,100,2.586079,0
,Giardini Margherita,Bologna,3,0.263531,,36,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,1,0,0,1,0,,,,,,,,,,,,,
,Mezzofanti,Bologna,35,0.710164,10604.587671,7531,912,684,207.45614,90.824592,21.896163,1.174398,88.671679,0,0,0,0,0,0,0,72.925665,6.690247,14.152542,1.387818,0.052507,7.449344,36.314572,0.95732,6.25,45.098039,4.296875,17.241379,0.316872,3288.563936,0,0,0,0,1,2,0,0,0,0,0,0,0.74,93.241269,0.33,100,6.06,86.98712,0.727017,100,100,100,100,1.333405,56.07489
,Siepelunga,Bologna,28,0.459817,9751.704785,4484,495,338,246.868687,75.379126,21.387154,0.923551,90.881459,0,0,0,0,0,0,0,73.489666,6.575741,11.318052,1.711277,0,7.214612,30.890742,0.882553,4.234528,38.461538,3.571429,9.090909,0.308368,3775,0,0,0,0,0,0,0,0,0,0,0,0,1.31,92.395183,1.5,94.090098,6.07,80.040143,1.216177,100,100,67.863515,100,2.482233,0
,Dagnini,Bologna,43,0.62304,15292.761383,9528,1183,1190,202.451395,124.895046,20.371537,1.470921,85.612481,57.712305,14.211438,17.488789,0,15.640274,105.504587,156.682028,76.453748,6.374258,14.351852,0.818268,0.058128,8.951763,36.441484,1.551095,9.833024,33.009709,8.860759,9.090909,0.359414,3140.404597,0,0,0,0,0,4,2,1,1,0,3,0,1.79,3.096138,0.89,48.667086,8.48,50.146935,0.449137,100,100,100,100,0.872686,100
,Chiesanuova,Bologna,42,0.765906,9588.64869,7344,833,797,210.92437,108.523965,18.75,1.314286,86.294537,0,13.636364,0,10.746461,11.073059,226.628075,67.721519,74.704965,6.939151,16.358025,1.154791,0.05005,8.222644,35.331695,1.525822,8.157895,36.363636,8.292683,21.052632,0.354223,3378.839052,0,0,0,0,0,4,1,0,0,1,2,0,0.89,3.036492,1.81,3.036492,8.51,15.454793,0.065232,100,100,97.957516,94.498911,1.529602,37.227669
,Irnerio-1,Bologna,43,0.308351,12093.346162,3729,285,501,289.122807,134.352373,16.38509,1.86239,87.88143,0,0,0,0,0,0,0,72.687225,8.080607,16.29393,1.479915,0.259067,11.548913,49.386892,1.972686,9.803922,37.5,6.349206,17.647059,0.32632,3734.017699,4,61723,0,0,9,0,0,0,0,0,0,0,0,100,0.04,100,9.66,28.533119,0.56597,100,100,100,100,1.08157,75.811209
,Irnerio-2,Bologna,74,1.067225,9466.60426,10103,964,1374,212.136929,135.999208,17.183015,1.560515,87.076874,50.707547,22.40566,16.482165,0,18.51253,153.097345,127.46114,72.553629,8.498162,18.449971,1.232449,0.096386,11.409764,48.299532,1.854032,10.38526,33.913043,10.416667,22.641509,0.346649,3189.615758,12,212429,0,0,2,4,2,1,2,0,4,0,0.26,100,0.08,100,5.88,84.460061,0.67415,100,100,100,100,1.288743,62.981293
,Cirenaica,Bologna,53,0.919453,10141.896297,9325,1066,1371,199.906191,147.024129,19.260054,2.303137,81.289366,100,16.184971,0,0,16.184971,19.116022,45.49763,71.517028,8.020802,16.810967,1.353105,0.113572,21.368421,53.531047,2.580218,11.460259,38.709677,7.722008,20.689655,0.373899,2580.813727,0,0,0,0,1,6,1,1,0,0,1,1,1.8,87.882038,0.5,58.02681,2.51,100,0.406973,100,100,100,96.621984,1.037123,79.270777
,Scandellara,Bologna,15,0.803614,889.730502,715,99,62,160.606061,86.713287,22.377622,0.607903,81.313131,94.617564,33.427762,30.743243,0,32.20339,736.666667,1022.727273,75.352113,5.438633,5.555556,0.542005,0.273224,16.551724,31.707317,1.171875,0,0,0,0,0.414015,2512.791319,0,0,0,0,2,1,1,1,1,0,2,0,2.78,0,1.27,84.755245,8.54,59.300699,0.784317,100,100,100,0,1.150712,100
,Via Larga,Bologna,18,1.00659,2069.362507,2083,209,112,222.488038,53.768603,23.379741,0.782998,83.554377,0,0,0,0,0,0,0,73.017107,6.400244,13.73057,0.511771,0,4.86618,25.383828,0.798935,3.398058,14.285714,1.190476,0,0.375248,2181,0,0,0,0,0,0,0,0,0,0,0,0,4.48,0,1.5,7.057129,11.17,0,1.810903,27.172348,68.698992,68.698992,0,2.480018,0
,Roveri,Bologna,47,3.091659,278.814726,862,90,347,148.888889,402.552204,25.290023,8.302583,65.098039,0,0,0,0,0,0,0,66.499162,12.91783,29.032258,1.945525,0.796813,5.737705,36.18677,3.76569,35.135135,50.704225,17.391304,50,0.413672,2181,0,0,0,0,0,0,0,0,0,0,0,0,2.41,0,3.35,9.74478,12.43,0,2.023206,10.208817,54.87239,54.87239,4.640371,4.645586,0
,Ospedale Sant'Orsola,Bologna,2,0.231945,,70,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
,Mengoli,Bologna,58,0.79468,12803.898265,10175,1148,1211,210.888502,119.017199,19.105651,1.669684,85.542169,67.398119,22.570533,0,3.972498,7.616708,178.846154,83.913043,75.412991,6.924275,15.026596,1.018616,0.107296,7.53176,37.987355,1.684577,9.230769,37.894737,5.084746,19.607843,0.356024,2909.771499,0,0,0,0,0,4,1,1,0,1,2,0,1.69,41.090909,0.79,57.110565,3.92,100,0.158285,100,100,100,100,0.877786,100
,Guelfa,Bologna,30,0.713455,9769.357355,6970,833,1290,183.193277,185.07891,19.010043,2.684374,78.805535,0,0,0,0,0,0,0,75.261245,7.242817,16.856256,0.944842,0,8.692476,39.172625,3.143336,12.742382,32.978723,11.560694,20,0.397368,2763,0,0,0,0,0,4,0,0,0,0,0,0,5.52,0,1.17,66.87231,7.62,46.441894,1.37377,100,100,100,68.852224,1.322055,67.030129
,Croce Del Biacco,Bologna,24,1.401051,3019.876763,4231,644,817,125.15528,193.098558,24.178681,3.384769,71.440466,100,71.559633,0,0,71.559633,20.446097,47.727273,73.901414,7.333859,20.621931,1.269531,0.198216,13.150685,44.384766,2.562374,15.355805,30.555556,8.730159,24.137931,0.421843,2763,0,0,0,0,0,0,1,1,0,0,1,0,2.85,0,2.39,17.537225,12.66,0,0.397333,35.641692,100,100,35.641692,2.970456,0
,Stradelli Guelfi,Bologna,4,1.840551,163.538002,301,37,28,148.648649,93.023256,21.92691,0,83.333333,0,0,0,0,0,0,0,83.419689,3.854455,13.043478,0,0,9.615385,27.45098,3.125,10.526316,66.666667,0,0,0.333888,2181,0,0,0,0,0,0,0,0,0,0,0,0,2.39,0,4.2,0,12.53,0,2.910229,0,31.893688,31.893688,0,3.052609,3.986711
,Stadio-Meloncello,Bologna,19,0.799648,4543.246295,3633,391,441,217.902813,121.387283,18.937517,2.053622,84.042045,100,12.408759,0,0,12.408759,38.44086,98.648649,75.377778,7.168721,17.131474,1.491795,0.102617,10.403121,39.68175,1.784329,8.252427,40,5.405405,10,0.370862,2825,0,0,0,0,0,3,1,1,0,0,1,0,3.16,0,1.32,72.859895,10.79,0,0.4899,100,100,84.47564,0,4.334977,0
,XXI Aprile,Bologna,62,0.826421,15608.267855,12899,1492,1624,204.691689,125.901233,19.365842,1.43248,84.755683,100,27.272727,0,0,27.272727,18.67065,44.072948,75.422974,6.919772,15.524079,1.099054,0.014233,11.155235,42.877017,1.914089,7.868383,31.304348,3.254438,22.580645,0.366707,2970.856656,0,0,0,0,0,4,1,1,0,0,1,0,1.48,0,1.28,86.324521,9.51,11.473758,0.274958,100,100,100,57.554849,3.61268,0
,San Giuseppe,Bologna,34,0.728748,8618.892111,6281,671,445,256.780924,70.848591,19.264448,0.782361,90.023895,0,22.707424,0,0,22.707424,35.649547,109.027778,75.103849,6.28568,12.430633,0.952664,0.03034,10.297927,38.374516,1.143947,5.149051,54.166667,3.608247,5.882353,0.310527,3328.339914,0,0,0,0,1,0,1,0,0,0,1,0,1.57,1.496577,0.95,100,11.3,17.353925,0.509121,100,100,100,98.774081,2.904518,0
,Ravone,Bologna,16,0.675918,1834.541886,1240,143,80,240.559441,64.516129,19.193548,1.353965,87.537994,100,2.253521,0,0,2.253521,278.625954,908.333333,73.399716,6.73594,16.071429,1.610306,0.164204,5,29.951691,1.711491,3.333333,0,0,0,0.310398,3928.419355,0,0,0,0,1,1,1,1,0,0,1,0,2.5,0,0.41,99.758065,12.49,0,1.084837,85.16129,84.032258,84.032258,0,4.33132,0
,Via Del Genio,Bologna,3,0.402426,,16,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
,San Luca,Bologna,20,7.646191,88.933172,680,83,73,192.771084,107.352941,22.352941,0.340136,85.597826,0,0,0,0,0,0,0,67.002519,8.195856,15.306122,1.993355,0.341297,2.857143,25.913621,1.762115,0,0,0,0,0.268067,2762.794118,0,0,0,0,0,0,0,0,0,0,0,0,5.83,0,3.74,0,16.72,0,2.633938,17.058824,29.411765,29.411765,0,7.66321,0
,Malpighi-2,Bologna,56,0.772192,12771.428266,9862,884,1191,250.113122,120.766579,15.777733,1.374776,87.005742,100,28.795812,19.134775,11.926606,13.492228,596.464646,63.934426,73.91237,7.807869,16.976917,0.997009,0.221465,11.532547,47.208375,1.991701,11.134454,45.333333,9.836066,20,0.349072,3168.911681,2,17347,0,0,5,3,1,1,1,3,5,0,0,67.724599,0,100,7.54,47.728655,0,100,100,100,100,2.67159,0
,Malpighi-1,Bologna,26,0.187392,9936.379885,1862,175,203,260,109.022556,18.045113,0.895857,88.888889,0,0,0,0,0,0,0,69.957082,8.4776,20.522388,2.061856,0.667302,8.663366,45.079663,1.259843,7.563025,35.714286,6.779661,0,0.322149,3838,1,46156,0,0,1,0,0,0,0,0,0,0,0.41,100,0,100,11.92,31.847476,0.30011,100,100,100,100,1.83042,0
,Fossolo,Bologna,30,1.262213,6868.093954,8669,926,639,327.645788,73.710924,18.571923,1.361985,83.975155,100,11.621622,12.909441,29.088785,20.573066,177.802691,110.152284,76.228755,5.691722,14.070352,0.632197,0.022878,6.353106,26.213592,1.425439,8.033827,32.5,7.174888,17.460317,0.335533,2763,0,0,0,0,0,3,1,1,1,1,3,0,3.42,0,1.85,27.673319,9.56,27.292652,0.645496,100,100,85.188603,76.00646,1.340672,60.768255
,Due Madonne,Bologna,14,0.510891,5717.460164,2921,375,395,230.4,135.227662,20.267032,2.142857,75.972696,89.626556,26.556017,0,0,26.556017,67.846608,162.790698,73.969072,6.909627,14.705882,0.761773,0,6.832298,30.33241,2.330744,5.839416,12.5,6.944444,14.285714,0.36276,2763,0,0,0,0,0,1,1,1,0,0,1,0,2.3,0,1.28,100,10.9,0,0.324131,100,100,100,0,2.172492,0
,Lungo Savena,Bologna,8,0.828529,,157,25,36,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5550,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
,Pontevecchio,Bologna,27,0.404378,13002.686627,5258,618,1046,169.255663,198.934956,19.113731,2.612742,79.26411,0,39.62963,0,0,39.62963,61.795407,139.495798,76.295865,7.167388,19.2673,0.876306,0.068966,8.672936,43.478261,3.058104,13.745704,37.037037,12.781955,26.829268,0.395346,2763,0,0,0,0,0,0,1,0,0,0,1,1,2.33,0,1.38,28.927349,10.24,27.596044,0.468005,100,100,93.723849,100,0.316893,100
,Bitone,Bologna,53,0.605959,17989.660689,10901,1379,1954,196.809282,179.24961,19.6404,2.484227,78.481641,59.82659,10.115607,16.580311,0,12.430427,51.272385,77.289377,76.529822,6.678911,17.153846,1.086403,0.069264,7.954545,36.343575,2.225755,12.432432,32.307692,8.363636,26.373626,0.395778,2763,0,0,0,0,2,2,1,1,1,0,2,0,2.46,0,0.69,100,10.69,0,0.374183,100,100,100,43.757453,1.053456,82.084212
,Cavedone,Bologna,11,0.350666,8860.283796,3107,436,446,188.302752,143.54683,24.203412,2.191381,73.533246,100,20.535714,0,0,20.535714,50.363196,132.038835,71.880597,7.977681,19.555556,0.987306,0,8.435374,35.401975,2.815433,11.594203,9.677419,11.016949,15.254237,0.37214,2848.903444,0,0,0,0,0,1,1,1,0,0,1,0,1.42,0,1.44,78.918571,12.26,0,0.034123,100,100,100,1.158674,1.58544,52.590924
,Via Arno,Bologna,30,1.01307,7165.345742,7259,785,677,317.834395,93.263535,18.473619,1.506997,80.80631,0,0,24.611973,0,24.611973,64.275466,0,74.683885,6.131504,12.575574,0.716056,0,6.5915,26.438998,1.612181,4.060914,18.181818,3.703704,8.163265,0.362478,2782.763466,0,0,0,0,1,2,0,0,1,0,1,0,2.54,0,0.36,96.927952,13.98,0,0.897665,100,100,100,0,2.000537,8.375809
,Ospedale Bellaria,Bologna,2,0.772777,,123,10,8,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
,Monte Donato,Bologna,21,3.07584,472.391302,1453,163,122,228.834356,83.964212,20.784584,1.290323,87.275064,0,0,0,0,0,0,0,73.498233,6.408537,15.555556,1.103448,0,6.811146,32.137931,1.616162,4.901961,55.555556,5.263158,20,0.299742,3847.645561,1,600,0,0,0,0,0,0,0,0,0,0,2.16,0,3.28,0,9.32,9.015829,0.967046,35.994494,71.782519,65.244322,7.639367,1.71721,38.885065
,Via Toscana,Bologna,83,0.955568,10324.753899,9866,1210,1472,198.347107,149.19927,20.251368,2.382003,82.351865,57.362637,13.186813,14.52514,0,13.776138,81.578947,119.831224,75.658678,6.511343,15.75663,1.205742,0.078171,9.543379,36.421053,1.542491,8.896797,36.842105,6.130268,20.833333,0.369312,3269.496452,0,0,0,0,0,0,1,1,1,0,2,1,0.5,0,2.57,0,10.92,3.770525,0.588071,77.620109,99.523616,99.523616,17.007906,0.433617,94.171904
,Corelli,Bologna,54,1.203697,7221.918012,8693,1092,1272,237.637363,146.324629,20.809847,2.134831,76.567965,68.82716,32.098765,0,0,32.098765,31.7,82.083333,74.143504,6.787546,18.779343,1.280293,0.02317,9.178541,36.854138,2.036364,11.485149,28.26087,7.916667,22.429907,0.38354,2850,0,0,0,0,0,6,1,1,0,0,1,0,1.24,0,2.06,17.416312,14.28,0,0.226212,98.090418,100,100,0,1.024154,90.106983
,Ponte Savena-La Bastia,Bologna,12,0.477795,2810.826212,1343,145,174,266.896552,129.560685,18.24274,2.413793,78.902954,0,0,0,0,0,0,0,76.710526,6.022912,12,1.365706,0,5.965909,32.018209,1.822323,14.285714,38.888889,15.625,18.181818,0.381799,3497.291139,0,0,0,0,0,0,0,0,0,0,0,0,2.43,0,1.93,0,14.15,0,1.285317,0,99.180938,99.180938,0,1.539073,99.180938
,Popolazione senza fissa dimora,,1,0.001742,,666,22,165,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
,Barracca Manna,Cagliari,18,0.530003,4107.521001,2177,278,21,161.151079,9.646302,23.151125,1.528176,69.22449,0,0,0,0,0,0,0,64.173523,12.931831,15.873016,3.063457,0.111235,2.992519,27.461707,1.430615,10,100,7.042254,17.142857,0.361596,1800,0,0,0,0,0,0,0,0,0,0,0,0,4.69,0,1.13,95.360588,7.33,83.647221,0.647154,17.822692,100,100,88.470372,7.154624,0
,Bonaria,Cagliari,120,1.774212,4849.477023,8604,823,627,290.765492,72.873082,17.456997,2.716514,79.868337,49.820789,3.584229,6.338028,3.252513,3.59677,489.912827,104.117647,65.739096,12.175729,20.906568,1.611835,0.339982,7.350187,27.357032,1.158581,12.981744,70.212766,7.563025,30.555556,0.311402,2241.77708,2,11652,0,0,2,3,1,1,1,3,5,0,0.23,92.945142,1.24,55.973966,8.56,29.067875,0.310607,100,100,100,100,2.172821,18.909809
,Borgo Sant'Elia,Cagliari,30,2.868329,190.703382,547,56,9,201.785714,16.453382,18.647166,2.681992,44.578313,0,0,0,0,0,0,0,52.394366,16.731868,20.253165,4.385965,0,11.578947,67.54386,2.739726,15.625,0,7.142857,16.666667,0.486234,1800,0,0,0,0,0,0,0,0,0,0,0,0,4.12,0,2.95,0,8.2,49.542962,1.449118,76.234004,100,97.440585,0,5.579892,0
,Castello,Cagliari,39,0.122689,12315.69875,1511,132,80,256.818182,52.945069,14.956982,2.404526,74.735729,100,13.380282,0,0,13.380282,105.970149,320.689655,62.851406,14.992886,20.731707,1.769912,0.450958,13.651877,39.823009,1.30597,11.47541,50,6.666667,54.545455,0.346834,1855.559232,2,4448,0,0,2,1,1,1,0,0,1,0,0,100,0.61,100,1.3,100,0.398038,100,100,100,100,1.065928,74.321641
,Cep,Cagliari,14,0.15816,11418.839369,1806,147,57,397.278912,31.561462,15.614618,5,47.234043,100,7.462687,0,0,7.462687,56.774194,237.931034,49.157582,21.890807,34.466019,2.937576,0.376884,7.875458,45.410037,3.9801,25.252525,33.333333,22.916667,29.824561,0.331336,1900,0,0,0,0,0,1,1,1,0,0,1,0,3.72,0,1.98,0,9.73,0,0.461509,100,100,100,100,9.12854,0
,Fonsarda,Cagliari,62,0.910162,7549.20951,6871,611,388,363.175123,56.469218,16.766118,1.87707,81.657143,100,3.139013,0,3.55366,3.496933,231.181102,83.471074,67.046358,11.775764,17.354369,1.313989,0.083893,6.358669,21.899808,1.164958,10.077519,55.172414,8,24.444444,0.304209,2022.89332,0,0,0,0,1,0,1,1,0,2,3,0,2.49,13.637025,0.2,52.714307,7.18,64.968709,0.512793,97.29297,100,98.253529,100,3.836513,0
,Genneruxi,Cagliari,77,0.962272,5636.662436,5424,432,236,416.666667,43.510324,16.832596,1.594973,84.064921,57.792208,1.623377,4.511278,4.255319,3.143713,128.932039,260,65.769755,11.69855,15.229885,1.545486,0.358938,4.588796,20.0562,0.538922,8.125,31.25,7.894737,25,0.287081,2268.593289,0,0,0,0,0,2,1,1,1,1,3,0,3.83,7.927729,1.45,0,9.2,5.088496,0.23604,100,100,99.133481,80.862832,6.690098,0
,Is Bingias - Terramaini,Cagliari,78,2.120317,1247.926851,2646,252,62,367.460317,23.431595,15.684051,1.506024,76.858238,0,0.44843,0.284495,6.912442,2.426471,472.983871,235.714286,65.33238,12.669441,19.678715,1.322957,0.237718,4.994193,22.023346,0.883838,6.086957,50,5.263158,7.142857,0.318496,1869.926304,0,0,0,0,1,1,1,0,2,2,5,0,4.71,0,1.7,41.836735,8.09,20.408163,0.785208,96.825397,99.584278,96.560847,98.110355,9.510127,0
,Is Campus - Is Corrias,Cagliari,31,0.838935,4195.797009,3520,441,21,167.120181,5.965909,21.164773,1.028433,71.000981,0,0,0,3.081232,3.081232,162.471396,0,66.651355,11.300651,15.754923,2.220727,0.413223,2.207131,27.725437,1.028278,9.950249,50,4.166667,11.111111,0.385444,1800,0,0,0,0,0,0,0,0,0,1,1,0,4.12,0,1.52,50.482955,6.03,100,0.92472,39.488636,59.573864,59.573864,62.954545,7.827619,0
,Is Mirrionis,Cagliari,109,1.766477,6799.974151,12012,994,699,346.277666,58.191808,15.950716,3.92119,61.962729,0,0,0,2.23398,2.23398,173.913043,0,58.848197,16.419201,26.761474,2.102659,0.190295,7.827217,36.471861,1.578628,24.776119,62.337662,16.060606,33.870968,0.340842,1800.936563,0,0,0,0,7,3,0,0,0,2,2,0,1.69,0.624376,0.11,87.445887,3.46,100,0.450859,100,100,99.492174,100,2.902343,0
,La Palma,Cagliari,27,0.36153,3396.674192,1228,127,27,294.488189,21.986971,19.70684,1.956522,73.529412,100,1.06383,0,0,1.06383,132.846715,454.166667,62.783661,13.398165,12.418301,2.229846,0,3.560831,16.809605,0.854701,3.797468,50,10,16.666667,0.338619,2333.061889,0,0,0,0,0,0,1,1,0,0,1,0,2.66,0,1.49,0,7.42,86.074919,0.192574,24.185668,100,100,0,4.373506,0
,La Vega,Cagliari,26,0.2749,11626.051788,3196,239,153,394.979079,47.87234,14.893617,2.121434,81.137387,100,1.408451,0,0,1.408451,88.537549,277.55102,64.112051,13.795831,16.990291,1.075269,0.115473,7.294118,25.014148,1.015228,12.57485,43.478261,7.317073,24.137931,0.316343,1950.484981,0,0,0,0,2,1,1,1,0,0,1,0,1.12,100,0.52,73.091364,5.24,94.430538,0.199401,100,100,100,100,2.599391,0
,Marina,Cagliari,63,0.243617,11308.724496,2755,254,434,232.677165,157.53176,17.096189,7.399267,67.749557,0,0,0,0,0,0,0,65.030336,13.378106,24.057971,1.958384,0.571066,12.720157,45.532436,1.037344,28.387097,68,17.948718,42.5,0.351229,2143.575318,1,12000,0,0,1,0,0,0,0,0,0,0,0.8,100,0.52,100,4.4,100,0.500768,100,100,100,100,0.710459,100
